"","GupDM_JM","GupDM_A13","GupDM_JI","GupDM_A7","GupDM_A2","GupDM_A_11","GupDM_JC","GupDM_JN","GupDM_JJ","GupDM_A1","GupDM_JE","GupDM_A12","GupDM_JL","GupDM_A14","GupDM_A3","GupDM_A10","GupDM_A_15","GupDM_JH","GupDM_JD","GupDM_A9","GupDM_A6","GupDM_JB","GupDM_JA","GupDM_HAK","GupDM_HAJ","GupDM_HAI","GupDM_HAH","GupDM_HAG","GupDM_HAL","GupDM_HAM","GupDM_HAN","GupDM_HAO","GupDM_HAP","GupDM_HAR","GupDM_HAT","GupDM_HDF","GupDM_HDB","GupDM_HCY","GupDM_HCL","GupDM_HCU","GupDM_HCV","GupDM_HCQ","GupDM_HCR","GupDM_HCS","GupDM_HCT","GupDM_HCM","GupDM_HCN","GupDM_HCO","GupDM_HP","GupDM_HS","GupDM_HR","GupDM_HBR","CRC_MR_SBJ01C_17","CRC_MR_SBJ02C_17","CRC_MR_SBJ03H_17","CRC_MR_SBJ05C_17","CRC_MR_SBJ06C_17","CRC_MR_SBJ07C_17","CRC_MR_SBJ12C_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ17H_17","CRC_MR_SBJ18H_17","CRC_MR_SBJ20C_17","CRC_MR_SBJ22C_17","CRC_MR_SBJ26C_17","CRC_MR_SBJ27C_17","CRC_MR_SBJ29C_17","CRC_MR_SBJ31C_17","CRC_MR_SBJ32C_17","CRC_MR_SBJ33C_17","CRC_MR_SBJ34H_17","CRC_MR_SBJ35C_17","CRC_MR_SBJ36C_17","CRC_MR_SBJ37H_17","CRC_MR_SBJ39C_17","CRC_MR_SBJ40C_17","CRC_MR_SBJ42C_17","CRC_MR_SBJ45H_17","CRC_MR_SBJ47C_17","CRC_MR_SBJ50C_17","CRC_MR_SBJ51C_17","CRC_MR_SBJ53C_17","CRC_MR_SBJ60H_17","CRC_MR_SBJ61C_17","CRC_MR_SBJ63H_17","CRC_MR_SBJ64C_17","CRC_MR_SBJ65H_17","CRC_MR_SBJ67H_17","CRC_MR_SBJ68H_17","CRC_MR_SBJ69H_17","CRC_MR_SBJ73H_17","CRC_MR_SBJ75H_17","CRC_MR_SBJ77H_17","CRC_MR_SBJ78H_17","CRC_MR_SBJ80H_17","CRC_MR_SBJ81H_17","CRC_MR_SBJ83H_17"
"150055",NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA
"386414",NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"827",NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1262739",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1262824",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0.196907123388855,-0.132997061861075,-0.839666267752994,-1.1641133252535,-1.25032740135595,-2.93093490029886,-2.33953686957167,-1.27931836857853,-Inf,0.226158776471639,-Inf,-0.849226049880245,0.155056965216531,-Inf,-1.87322288097395,-1.6183632476631,1.37438175752425,-3.74014461871063,-Inf,-Inf,-1.90010859027291,-Inf,-0.555665157281441,-0.93682685900815,-1.46305766659589,-2.57884150640831,-Inf,-Inf,-0.313580203834134,-Inf,-0.0743495422577691,-Inf,-Inf,-Inf,-Inf,-3.25409599928155,-1.15877770273507,-Inf,-Inf,-Inf,-0.135059627047423,-1.06594747150287,-Inf,-Inf,-1.43041213350693
"1472761",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,Inf,Inf,Inf,Inf,NA,Inf,NA,NA,Inf,NA,NA,Inf,NA,NA,NA,Inf,Inf,Inf,Inf,Inf,Inf,NA,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,Inf,NA,Inf,NA,NA,Inf,NA
"471189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA
"55565",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,3.6144390430428,2.09908853906363,1.50935445387712,1.25553061399079,0.858571936960422,-Inf,-Inf,-Inf,-0.578307920947575,-Inf,-0.620047527120341,0.377445391295939,-Inf,-Inf,0.891651027937006,-Inf,-Inf,0.251314428280906,-Inf,2.36430880972323,2.16839840886738,-Inf,2.11410705778018,-Inf,-Inf,1.39157141822073,-Inf,-Inf,-Inf,-Inf,0.780893149516789,1.15740239689482,-Inf,1.02734926864662,0.851070026308627,-Inf,-Inf,-Inf,-0.0469400248812706,-Inf,-Inf,-Inf,-Inf,0.406052824845622,-Inf
"1308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"387661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,Inf,Inf,NA,NA,NA,NA,NA,Inf,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,Inf,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA
